"理論在本質上是對人們構想的現實的一種抽象和符號化的表達。","Essentially, a theory is an abstract, symbolic, representation of what is conceived to be reality."
"工業革命有幾個根源，其中一個就是商業革命，商業革命開始的時間可以追溯到 16 世紀，伴隨著歐洲在海外的擴張。","The Industrial Revolution had several roots, one of which was a commercial revolution that, beginnning as far back as the sixteenth century, accompanied Europe's expansion overseas."
"許多高級食草動物－比如牛－的頷關節和牙排位於不同的水平面上，這樣可以橫向撕裂、切碎和壓縮植物材料。","The jaw joints of many advanced herbivores, such as cows, lie at a different level than the tooth row, allowing transverse tearing, shredding, and compression of plant material."
"因此樂器演變的方式就是優化他們的聲學特性，即樂器如何震動，以及如何將所產生的振動透過空氣傳到我們的耳膜。","So musical instruments evolved in ways that optimize their acoustical properties--how the instrument vibrates and sends those vibration through the air to our eardrums"
"德國打印機的缺點是使用一種複雜的字體，義大利人嘲諷地稱之為「哥德式」字體，後來這種字體被稱為黑體字。","German printers had the disadvantage of working with the complex typeface that the Italians sneeringly referred to as 'Gothic' and that later became known as black letter."
"美國第一位女醫生伊莉莎白·布萊克威爾創建了紐約診所，該機構的醫務人員一直以來全部都是女性。","Elizabeth Blackwell, the first woman medical doctor in the United States, founded the New York Infirmary, and institution that has always had a completely female medical staff."
"我們已經講過珊瑚礁通常在哪裡形成--沿著熱帶或副熱帶地區淺海沿岸的邊緣地帶--以及珊瑚礁正在以令人擔憂的速度消失這一事實。","We've gone over where coral reefs are usually formed--along the edges of shallow ocean banks in tropical or subtropical regions, and the fact that they are declining at an alarming rate."
"提升海灘通常由沙洲、鵝卵石或沙丘組成，有時包含貝殼或者由人類用過的海洋動物的殼和骨頭構成的一堆堆殘渣。","Raised beaches often consist of areas of sand, pebbles, or dunes, sometimes containing seashells or piles of debris comprising shells and bones of marine animals used by humans."
"由於在越來越多的地方，越來越多的岩層積累形式被編入分類，以下訊息變得清晰了：岩層順序有時因地區的不同而不同，全世界沒有一種特定的岩層能被認作是可靠的時間標記。","But as more and more accumulations of strata were cataloged in more and more places, it became clear that the sequences of rocks sometimes differed from region to region and that no rock type was ever going to become a reliable time marker throughout the world."
"這是一項重要革新，因爲駱駝能夠在惡劣的沙漠環境繁衍生息，並以低廉的成本運輸大量貨物，這是他成為一種有效且高效的運輸方式。","This was an important innovation, because the camel's abilities to thrive in harsh desert conditions and to carry large loads cheaply made it an effective and efficient means of transportation."
"這些人對該地區進行了高強度的開發，他們在山坡上搜尋野生動物的穀物和堅果，在長滿青草的低地和河谷中捕捉瞪羚及其他獵物。","These people exploited the landsacpe intensively, foraging on hill slopes for wild cereal grasses and nuts, while hunting gazelle and other game on grassy lowlands and in river valleys."
"人們認識到作為冰河時代地貌的遺跡，現代植物群的許多特徵在白令海兩岸也存在過，這使得該地區被命名為白令吉亞。","The recognition that many aspects of the modern flora and fauna were present on both sides of the Bering Sea as remnants of the ice-age landscape led to this region being named Beringia."
"因此，在回憶一個事件時（一次打獵、戰役或其他功勳偉業），講述人是透過自己的手勢和模仿將其詳盡的呈現出來，這種呈現方式最終演變成為由不同的人來演繹不同的角色。","Thus, the recalling of an event (a hunt, battle, or other feat) is elaborated through the narrator's pantomime and impersonation and eventually through each role being assumed by a different person."
"沙漠化問題異常嚴重，這是因為有很廣闊的地區和數量龐大的人群都受到餓殺沒話的影想，而且要想逆轉沙漠化的進程，哪怕只是減緩沙漠化的速度，都面臨著巨大的困難。","The extreme seriousness of desertification results from the vast areas of land and the tremendous numbers of peole affected, as well as from the great difficulty of reversing or even slowing the process."
"謹慎的航海員在出航前，會學習海圖，研究航向，並熟記燈塔的位置，以便對各種他們可能遇到的情況做到有備無患。","Before starting on a sea voyage, prudent navigators learn the sea charts, study the sailing directions, and memorize lighthouse locations to prepare themselves for any conditions they might encounter."
"數十年來，為什麼會發生嬰兒期遺忘這個問題一直讓心理學家們感興趣，尤其是鑒於大量的證據表明嬰幼兒能夠表現出令人驚訝的記憶能力。","The question of why infantile amnesia occurs has intrigued psychologists for decade, especially in light of ample evidence that infants and young children can display impressive memory capabilities."
"研究人員可以鑽取芯部樣品，基本上獲取一棵樹的橫截面而不導致樹死亡，然後觀察年輪，了解這棵樹所在盆地每年的氣候狀況。","Researchers can drill core samples, basically get a cross-section of a tree without having to kill it, look at the rings and get a picture of what the climate was like in the basin for each of the tree's years."
"英國較成熟的銀行和信貸體系也有助於加快工業進步，就像英國有一大批令人贊嘆的企業家和發明家這一事實有助於工業進步一樣。","Great Britain's better-developed banking and credit system also helped speed the industrial progress, as did the fact that it was the home of an impressive array of entrepreneurs and inventors."
"面對大量不可靠的數字，經濟學家將人口紀錄與 1368 年以來六個世紀的耕地面積和糧食產量的匯總數據進行了比較。","Confronted with a multitude of unreliable figures, economists have compared the population records with the aggregate data for cultivated land area and grain production in the six centuries since 1368."
"顯然，物種豐富的地區很可能包含一些抗旱植物品種，這些抗旱品種在乾旱的年份生長得更好，彌補了那些不耐旱品種生長不佳的狀況。","Apparently, species-rich plots were likely to contain some drought-resistant plant species that grew better in draught years, compensating for the poor growth of less-tolerant species."
"更讓人吃驚的事實是，監禁的數目和比率在過去 20 年裡翻了超過一倍，而累犯率，即再次逮捕的比率，高於 60 %。","Even more shocking is the fact that the number and rate of imprisonment have more than doubled over the past twenty years, and recidivism--that is the rate for re-arrest--is more than 60 percent."
"這些植物透過產生孢子來繁殖--孢子是一些微小的已受精細胞，他們攜帶了生成一株新植物的所有指令--但是孢子沒有任何外部表皮的保護，也沒有營養供應。","These plants propagate by producing spores--tiny fertilized cells that contain all the instructions for making a new plant--but the spores are unprotected by any outer coating and carry no supply of nutrient."
"同時，由於自然選擇更傾向於那些能夠感染寄主但不致死亡的品系，這種病毒中最致命的品系也隨寄主滅亡了。因此，自然選擇使得寄主和寄生物的關係趨於穩定。","Meanwhile, the deadliest strains of the virus perished with their hosts as natural selection favored strains that could infect hosts but not kill them. Thus, natural selection stabilized this host-parasite relationship."
"停留時間指的是特定水分子在湖中停留的平均時長，這是透過將湖水除以水流出湖泊的速度計算出來的。","The residence time is the average length of time that any particular molecule of water remains in the lake, and it is calculated by dividing the volume of water in the lake by the rate at which water leaves the lake."
"眼睛由專門探測光源的細胞聚合而成，這些細胞透過使用光敏色素來探測光源，同時眼睛也用於限制射到感光細胞的入射光的方向。","An eye is a collection of cells that are specialized for light detection through the presence of photosensitive pigment as well as a means of restricting the direction of incoming light that will strike the photosensitive cells."
"社會學家將初級群體看作個體與更大的社會群體之間的橋樑，因為他們能傳達、調解和解讀一個社會的文化模式，並提供對社會團結至關重要的和諧感。","Sociologists view primary groups as bridges between individuals and the larger society because they transmit, mediate, and interpret a society's cultural patterns and provide the sense of oneness so critical for social solidarity."
"荷蘭人自己生產糧食既昂貴又費時，進口糧食使得糧食的價格保持在低點，因而刺激了個人對其他食物和生活消費品的需求。","Importing the grain, which would have been expensive and time-consuming for the Dutch to have produced themselves, kept the price of grain low and thus stimilated individual demand for other foodstuffs an consumer goods."
"如實複製了過去的沙畫的男人們代表著納瓦霍人思想中的穩定性原則，而女性代表著活力，每次編織他們都創造了新的設計。","While the men who make faithful copies of sand paintings form the past represent the principle of stability in Navajo thought, women embody dynamism and create new designs for every weaving they make."
"反過來，對土地以及鄉村生活所帶來的穩定性的深深依戀孕育了羅馬人的品格：gravitas，一種責任感；pietas，對家庭和國家的奉獻；以及 iustitia，一種自然的秩序感。","In turn, a deep attachment to the land, and to the stability which rural life engenders, fostered the Roman virtues: gravitas, a sense of responsibility, pietas, a sense of devotion to family and country, and iustitia, a sense of the natural order."
"與哺乳動物與鳥類相反，兩棲類動物不能透過他們的代謝活動產生熱能，這使得他們可以脫離周圍的環境來調節體溫。","In contrast to mammals and birds, amphibians are unable to produce thermal energy through their metabolic activity, which would allow them to regulate their body temperature independent of the surrouding or ambient temperature."
"這是因為最初顆粒間的縫隙通常並未完全被黏固的化學物質塞滿，而且部分顆粒很可能在固化時或固化後被滲入的地下水溶解。","This is because the gaps among the original grains are often not totally plugged with cementing chemicals; also, parts of the original grains may become dissolved by percolating groundwater, either while consolidation is taking place or at any time afterwards."
"商家之間相互信任的增長促進了信貸銷售的增長，促使了金融的新發展，比如匯票，這種手段使又長、又慢、又非常危險的硬幣運輸變得不必要了。","The growth of mutual trust among merchants facilitated the growth of sales on credit and led to new developments in finance, such as the bill of exchange, a device that made the long, slow, and very dangerous shipment of coins unnecessary."
"據廣泛報導，雖然可能不足為信，諸如威尼斯著名旅行家馬可·波羅在內的名人層描述過，中國人願意和歐洲人通商，並且歐洲人透過這樣的貿易關係可以獲得巨額財富，這些描述使得這一想法變得讓人難以抗拒。","Widely reported, if somewhat distrusted, accounts by figures like the famous traveler from Venice, Marco Polo, of the willingness of people in China to trade with Europeans and of the immensity of the Wealth to be gained by such contact made the idea irresistible."
"在公元 1 世紀羅馬帝國征服英國之後，大量軍隊駐守在這片新省區，這些軍隊的軍營、城防以及他們對當地經濟的參與都對英國產生了重要的影響。","In the wake of the Roman Empire's conquest of Britain in the first century A.D., a large number of troops stayed in the new province, and these troops had a considerable impact on Britain with their camps, fortifications, and participation in the local economy."
"許多為學齡前兒童設計的項目主要集中在社會因素和情感因素上，而有些主要是為提升學齡前兒童的認知收穫，為他們上幼兒園後要經歷的正規教學做準備。","While many programs designed for preschoolers focus primarily on social and emotional factors, some are geared mainly toward promoting cognitive gains and preparing preschoolers for the formal instruction they will expericence when they start kindergarten."
"希羅編纂了約 70 種靈巧的小型機械設備的說明和草圖，其中大部分設備利用壓縮的空氣來使水--或者在某些情況使酒--從一處流向另一處，或者有時候噴射出來或製造一些響聲．","Hero compiled descriptions and sketches of 70 some clever little, mechanical devices, most of which utilized compressed air to cause water, or some cases, wine to flow from one place to another, or sometimes to squirt or to make some kind of noise."
"引入那些在特定地裡條件下生長快、產量高的轉殖基因數目會滿足很多地區對木材的需求，保護當地瀕臨滅絕的數目，其中常常包括一些獨有或稀有的品種。","Introducing genetically modified trees, designed for fast growth and high yield in given geographic conditions, would satisfy the demand for wood in many of those areas and save the endangered native trees, which often include unique or rare species."
"18 世紀 60 年代，詹姆斯·瓦特完善了分離的蒸氣冷凝機，因此不必每一衝程後都要冷卻汽缸；隨後，他又發明了一種新的方法，使得活塞可以旋轉運動，即從原來的（前後）往復運動演變成旋轉運動。","In the 1760s, James Watt perfected a separate condenser for the steam, so that the cylinder did not have to be cooled at every stroke; then he devised a way to make the piston turn a wheel and thus convert reciprocating (back and forth) motion into rotary motion."
"與由投資者組成的以單個商業項目為目的的短期財團不同，股份制公司透過利用商人和其他購買公司股份的投資者來提供長期的資金。","Unlike short-term financial cooperation between investors for a single commercial undertaking, joint-stack companies provied permanent funding of capital by drawing on the investments of merchants and other investors who purchased shares in the company."
"這是合理的，因為人們認為反思實踐可以幫助老師更加理性的參與到他們的角色和所從事的教學工作中，使他們能夠應對教學準則中科學事實的缺乏即知識的不確定性。","This was justified by the view that reflective practice sould help teachers to feel more intellectually invloved in their role and work in teaching and enable them to cope with the paucity of scientific fact and the uncertainty of knowledge in the discipline of teaching."
"沒有其他大的公共建設，這意味著主管寺廟的祭司也負責管理城市，組織人們在田間勞作、興修水利工程並維護溝渠和水壩系統。","There were no other large public buildings, suggesting that the priests who were in charge of the temples also were responsible for governing the city and organizing people to work in the fields and on irrigation projects building and maintaining systems of ditches and dams."
"財富和地位上的不平等確實存在，而且可能存在於大多數遊牧社會裡。但是除了軍事征服時期，這種不平等通常太過輕微，難以形成那種常用「階級」這個詞來暗指的穩定、世襲的等級制度。","Inequalities of wealth and rank certainly exist, and have probably existed in most pastoralist societies, but except in periods of military conquest, they are normally to slight to generate the stable, hereditary hierarchies that are usually implied by the use of the term class."
"目前很多生態學家們認為，巔峰群集相對長期的穩定性並非來自於多樣性，而是來自環境的「補綴」，隨處變化的環境比始終如一的環境更有利於多種生物的生存。","Many ecologists now think that the relative long-term stability of climax commiunities comes not from diversity but from the 'patchiness' of the environment; an environment that varies from place to place supports more kinds of organisms than an environment that is uniform."
"根據傳統理論，當人們無聊或者困倦時就會打哈欠，伴隨睡眠不足或無聊而來的淺呼吸會降低血液中的氧含量，打哈欠可以透過深呼吸逆轉血液中氧含量的下降，從而達到提高警覺性的作用。","According to conventional theory, yawning takes place when people are bored or sleepy and serves the function of increasing alertness by reversing, through deeper breathing, the drop in blood oxygen levels that are caused by the shallow breathing that accompanies lack of sleep or boredom."
"一些人認為，太平洋大部分地區都是玻里尼西亞人在迷失、漂流後偶然被困於此從而定居下來的。與此說法相反的是，這是透過深思熟慮的殖民遠征實現的，人們準備周詳，出發時滿載食物、以培育好的植物和以馴化的動物。","Contrary to the arguments of some that much of the Pacific was settled by Polynesians accidentally marooned after being lost and adrift, it seems reasonable that this feat was accomplished by deliberate colonization expeditions that set out fully stocked with food and domesticated plants and animals."
"雅典哲學家蘇格拉底（公元前 470-339 年）是希臘第一個提出基於個人良心而不是國家要求的道德基準的人，他為此被控訴不信仰城邦眾神，並因此使青年墮落，被判了死刑。","The Athenian philosopher Socrates (470-399 B.C.) was the first person in Greece to propose a morality based on individual conscience rather than the demands of the states, and for this he was accused of not believing in the city's gods and so corrupting the youth, and he was condemned to death."
"還有兩個證據支持「石油是有機物分解的產物」這一假說：石油的化學特性只在來自有機物的碳氫化合物中存在；石油含有氮和某些化合物，這些物質被認為只能來源於生物。","Two additional kinds of evidence support the hypothesis that petroleum is a product of the decomposition of organic matter: oil possesses optical properties known only in hydrocarbons derived from organic matter, and oil contains nitrogen and certain compounds believed to originate only in living matter."
"雖然從後來的視角來看也許難以想像，但是在 20 世紀 20 年代，一種批判性觀點預測有聲電影這項技術新玩意將會迅速淡出人們的視線，就像之前--追溯到第一次世界大戰之前--多次試圖將畫面與錄音連在一起的技術那樣。","Though it may be difficult to imagine from a later perspective, a strain of critical opinion in the 1920s predicted that sound film would be a techincal novelty that would soon fade from sight, just as had many previous attempts, dating well back before the First World War, to link images with recorded sound."
"當地小規模的有關友誼、禮拜和生產的平等主義的或類似平等主義的組織在放任自由的環境中繁榮發展，在這樣的多元化中，個體之間可以在和諧和意識形態平等的社群中互相影響，追隨他們普選出來的領袖，透過共識實現自我管理，同時將財富和權利差異最小化。","In the multiplicity of small-scale local egalitarian or quasi-egalitarian organizations for fellowship, worship, and production that flourished in this laissez-faire environment, individuals could interact with one another within a community of harmony and ideological equality, following their own popularly elected leaders and governing themselves by shared consensus while minimizing distinctions of wealth and power."
